id,nome,preco,codigo,por_peso,codigo_id,vendido
583,"PAO CEARENCE COM 10 GOMOS",6,7890000908559,0,90855,1
584,"PAO COM LIGUICA CHEEDAR",5,7890000004442,0,444,1
585,"PAO COM LIGUICA E CATUPIRY",5,7890000004459,0,445,1
586,"PAO DE ALHO BANDEJA",9,7890000006026,0,602,1
587,"PAO DE BATATA COM 12 UNID",6,7890000908573,0,90857,1
588,"PAO DE BATATA RECHEADO COM CARNE",3,7890000908580,0,90858,1
589,"PAO DE BATATA RECHEADO COM FRANGO",3,7890000908542,0,90854,1
590,"PAO DE CACHORRO QUENTE",0,7890000005876,0,587,1
591,"PAO DE DOCE COM MANTEIGA",1,7890000007153,0,715,1
592,"PAO DE FORMA PACOTE TALENTO",7,7898909922010,0,386,1
593,"PAO DE QUEIJO KILO",36,7890000001267,1,126,1
594,"PAO DE QUEIJO KILO CRU",24,7890000004145,1,414,1
595,"PAO DE QUEIJO RECH. CARNE/ALHO PORO UNIDADE",5,7890000003599,0,359,1
596,"PAO DE QUEIJO RECH. COST/BARBECUE UNIDADE",5,7890000003582,0,358,1
597,"PAO DE QUEIJO RECH. FRANGO UNIDADE",5,7890000005036,0,503,1
599,"PAO DE QUEIJO UNIDADE",3,7890000002646,0,264,1
600,"PAO DE QUEIJO UNIDADE CRU",3,7890000004152,0,415,1
601,"PAO DE SAL",16,7890000001250,1,125,1
602,"PAO DE SAL COM MANTEIGA",1,7890000007146,0,714,1
603,"PAO DE SAL COM MORTADELA",2,7890000007160,0,716,1
604,"PAO DE SAL RECH. PRESUNTO",21,7890000003957,1,395,1
605,"PAO DE SAL RECHEADO QUEIJO",21,7890000003933,1,393,1
606,"PAO DOCE",16,7890000001625,1,162,1
607,"PAO INTEGRAL DE BANANA COM AVEIA",10,7898909922119,0,90739,1
608,"PAO SOVADO",9,7890000004466,0,446,1
609,"PASTEL CREME DE MILHO",32,7890000001281,1,128,1
610,"PASTEL CREME DE MILHO KG CRU",28,7890000003681,1,368,1
611,"PASTEL DE CARNE KILO",32,7890000006569,1,656,1
612,"PASTEL DE QUEIJO KILO",32,7890000006576,1,657,1
613,"PASTEL FRITO CARNE UNID.",4,7890000001618,0,161,1
614,"PASTEL FRITO CARNE UNID. CRU",2,7890000004169,0,416,1
615,"PASTEL FRITO CARNE/PIZZA/QUEIJO CRU",22,7890000907637,0,90763,1
616,"PASTEL FRITO QUEIJO UNID.",4,7890000003711,0,371,1
617,"PASTEL FRITO QUEIJO UNID. CRU",3,7890000004183,0,418,1
618,"PASTEL PORTUGUES UNID",2,7890000907699,0,90769,1
619,"PATE DE FRANGO",9,7890000007399,0,739,1
620,"PATE DE PRESUNTO",9,7890000007405,0,740,1
621,"PAVE DE MORANGO",8,7890000003759,0,375,1
622,"PICOLE MAXIMUS CHOC/COOKI",7,7898095317911,0,90798,1
623,"PICOLE TOC BOMBOM BRANCO",5,7898095311544,0,90796,1
624,"PICOLE TOC BRIGADEIRO",5,7898095311568,0,90795,1
625,"PICOLE TOC FRUTY LIMAO",3,7898095311469,0,90791,1
626,"PICOLE TOC FRUTY UVA",3,7898095311483,0,90790,1
627,"PICOLE TOC GIRA G. MORANG",4,7898095313456,0,90794,1
628,"PICOLE TOC KIDS MILK CHOC",2,7898095319090,0,90800,1
629,"PICOLE TOC KIDS MILK MORA",2,7898095319106,0,90799,1
630,"PICOLE TOC MILK COCO",3,7898095311384,0,90793,1
